Name,first,last,season,team,position,start,end,days,location,type,side,Injury ID,FG Teamid,FG playerid,mlbamid,Game Hurt,XML,YouTube,First Pitch,Healthy XML,Healthy YT,First Pitch
Aaron Nola,Aaron,Nola,2017,Phillies,RHP,04/21/17,05/21/17,30,back,strain,lower,15,26,16149,605400,4/20 PHI@NYM,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_20/gid_2017_04_20_phimlb_nynmlb_1/,vx4ooBUXdlA,0:11:32,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_14/gid_2017_04_14_phimlb_wasmlb_1/,jVsLXDA6BLs,0:05:52
Clayton Kershaw,Clayton,Kershaw,2017,Dodgers,LHP,07/24/17,09/01/17,39,back,strain,low,15,22,2036,477132,7/23 ATL@LAD,http://gd2.mlb.com/components/game/mlb/year_2017/month_07/day_23/gid_2017_07_23_atlmlb_lanmlb_1/,Os7i4IOAUBI,0:10:45,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_06/gid_2017_05_06_lanmlb_sdnmlb_1/,AWmTrJItceA,0:10:01
Corey Kluber,Corey,Kluber,2017,Indians,RHP,05/03/17,06/01/17,29,back,strain,lower,15,5,2429,446372,5/2 CLE@DET,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_02/gid_2017_05_02_clemlb_detmlb_1/,WQeMos2_mko,0:11:00,http://gd2.mlb.com/components/game/mlb/year_2017/month_06/day_29/gid_2017_06_29_texmlb_clemlb_1/,EuvlwwrqAtA,0:10:32
A.J. Griffin,A.J.,Griffin,2017,Rangers,RHP,05/27/17,08/03/17,68,intercostal,strain,left,6,13,11132,456167,5/26 TEX@TOR,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_26/gid_2017_05_26_texmlb_tormlb_1/,irLSdOmwAyg,0:02:00,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_07/gid_2017_04_07_oakmlb_texmlb_1/,AdAgo1spHho,0:07:28
Adalberto Mejia,Adalberto,Mejia,2017,Twins,LHP,08/09/17,09/13/17,35,arm,strain,left,2,8,13188,606167,8/8 MIL@MIN,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_08/gid_2017_08_08_milmlb_minmlb_1/,gNvX_CMmOd4,0:11:15,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_27/gid_2017_05_27_tbamlb_minmlb_1/,i9C83IubIw8,0:10:38
Adam Liberatore,Adam,Liberatore,2017,Dodgers,LHP,05/31/17,10/01/17,123,forearm,tightness,left,2,22,10637,571893,5/30 LAD@STL,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_30/gid_2017_05_30_lanmlb_slnmlb_1/,R3dXKh5X9Oo,0:08:58,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_08/gid_2017_05_08_pitmlb_lanmlb_1/,cylP1wYXag4,0:10:13
Adam Wainwright,Adam,Wainwright,2017,Cardinals,RHP,08/18/17,09/19/17,32,elbow,impingement,right,8,28,2233,425794,8/17 STL@PIT,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_17/gid_2017_08_17_slnmlb_pitmlb_1/,h2HcdcpxYyE,0:02:26,http://gd2.mlb.com/components/game/mlb/year_2017/month_06/day_01/gid_2017_06_01_lanmlb_slnmlb_1/,H-Iz_SzdXls,0:16:35
Alex Meyer,Alex,Meyer,2017,Angels,RHP,07/21/17,10/01/17,72,shoulder,inflammation,right,18,1,12833,543542,7/19 WSN@LAA,http://gd2.mlb.com/components/game/mlb/year_2017/month_07/day_19/gid_2017_07_19_wasmlb_anamlb_1/,_ZKFVvzIHGA,0:08:21,http://gd2.mlb.com/components/game/mlb/year_2017/month_06/day_07/gid_2017_06_07_anamlb_detmlb_1/,eA-Jooav_UA,0:10:18
Alex Wood,Alex,Wood,2017,Dodgers,LHP,05/27/17,06/10/17,14,sc joint,inflammation,left,18,22,13781,622072,5/26 CHC@LAD,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_26/gid_2017_05_26_chnmlb_lanmlb_1/,GFDUgq0ae80,0:10:10,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_08/gid_2017_05_08_pitmlb_lanmlb_1/,cylP1wYXag4,0:10:13
Alex Wood,Alex,Wood,2017,Dodgers,LHP,08/22/17,09/03/17,12,sc joint,inflammation,left,18,22,13781,622072,8/21 LAD@PIT,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_21/gid_2017_08_21_lanmlb_pitmlb_1/,F7PWPw1fYiE,0:08:16,0,0,0
Andrew Bailey,Andrew,Bailey,2017,Angels,RHP,08/18/17,10/01/17,44,shoulder,strain,right,18,1,1368,457732,8/15 LAA@WSN,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_15/gid_2017_08_15_anamlb_wasmlb_1/,x6vSIx9aF4I,0:06:03,0,0,0
Aroldis Chapman,Aroldis,Chapman,2017,Yankees,LHP,05/13/17,06/18/17,36,shoulder,inflammation,left,18,9,10233,547973,5/12 HOU@NYY,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_12/gid_2017_05_12_houmlb_nyamlb_1/,yVsspUDDHC0,0:09:58,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_26/gid_2017_04_26_nyamlb_bosmlb_1/,I0jNhfAZs-U,0:10:24
Austin Brice,Austin,Brice,2017,Reds,RHP,08/13/17,10/01/17,49,lat,strain,right,6,18,17237,592169,8/12 CIN@MIL,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_12/gid_2017_08_12_cinmlb_milmlb_1/,a7paOawCa-I,0:10:30,http://gd2.mlb.com/components/game/mlb/year_2017/month_06/day_03/gid_2017_06_03_atlmlb_cinmlb_1/,dNczsKnLHWg,0:03:45
Boone Logan,Boone,Logan,2017,Indians,LHP,07/20/17,10/01/17,73,latissimus dorsi,strain,left,6,5,5525,457429,7/19 CLE@SFG,http://gd2.mlb.com/components/game/mlb/year_2017/month_07/day_19/gid_2017_07_19_clemlb_sfnmlb_1/,gE-C6jtKV4Y,0:16:24,http://gd2.mlb.com/components/game/mlb/year_2017/month_06/day_07/gid_2017_06_07_clemlb_colmlb_1/,OrTuLYhmuQQ,0:01:59
Brandon Finnegan,Brandon,Finnegan,2017,Reds,LHP,04/16/17,06/26/17,71,shoulder,strained,left,18,18,16208,605232,4/15 MIL@CIN,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_15/gid_2017_04_15_milmlb_cinmlb_1/,tQkeOv-sJ3w,0:10:57,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_05/gid_2017_04_05_phimlb_cinmlb_1/,jD86dDAbMMg,0:02:48
Brent Suter,Brent,Suter,2017,Brewers,LHP,08/13/17,09/01/17,19,rotator cuff,strain,left,18,23,13942,608718,8/12 CIN@MIL,http://gd2.mlb.com/components/game/mlb/year_2017/month_08/day_12/gid_2017_08_12_cinmlb_milmlb_1/,a7paOawCa-I,0:10:30,http://gd2.mlb.com/components/game/mlb/year_2017/month_07/day_22/gid_2017_07_22_milmlb_phimlb_1/,zMa93aktzEY,0:03:57
Brett Anderson,Brett,Anderson,2017,Cubs,LHP,05/07/17,07/26/17,80,back,strain,low,15,17,8223,474463,5/6 NYY@CHC,http://gd2.mlb.com/components/game/mlb/year_2017/month_05/day_06/gid_2017_05_06_nyamlb_chnmlb_1/,gnEW5UZPYTY,0:05:55,http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_chnmlb_pitmlb_1/,XOdpZqbH58k,0:08:12
